Where,Projects,Location,Rule,Status,PR,PR Status
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-gateway/src/main/java/epf/gateway/messaging/Messaging.java#L77,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-gateway/src/main/java/epf/gateway/net/Net.java#L52,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-shell/src/main/java/epf/shell/file/FileStore.java#L37,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/b43fd4c77d3f3003682d2745907a56c5ad739ce7/OpenUP/OpenUP-service/src/main/java/openup/service/auth/OpenUPAuth.java#L64,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/b43fd4c77d3f3003682d2745907a56c5ad739ce7/OpenUP/OpenUP-service/src/main/java/openup/service/auth/OpenUPAuth.java#L67,@ConfigProperty --> @Inject on field,fixed,,
project,maxant/kafka-data-consistency,https://github.com/maxant/kafka-data-consistency/blob/master/archive/tasksq/src/main/java/ch/maxant/kdc/tasks/TasksResource.java#L34,@Incoming on method --> @ApplicationScoped | @Dependent on class,not fixed,https://github.com/maxant/kafka-data-consistency/pull/7,accepted
project,maxant/kafka-data-consistency,https://github.com/maxant/kafka-data-consistency/blob/master/archive/tasksq/src/main/java/ch/maxant/kdc/tasks/TasksResource.java#L35,@Outgoing on method --> @ApplicationScoped | @Dependent on class,not fixed,https://github.com/maxant/kafka-data-consistency/pull/7,accepted
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
project,Proprietary-project3,NA,@ConfigProperty --> @Inject on field,not fixed,NA,
